year,month,station_id,reservoir,volume_af,water_year
2000,4,SYSTEM,ALL,256282.172,2000
2000,5,SYSTEM,ALL,319457.594,2000
2000,6,SYSTEM,ALL,305892.705,2000
2000,7,SYSTEM,ALL,114657.4722,2000
2000,8,SYSTEM,ALL,45917.129,2000
2000,9,SYSTEM,ALL,58519.247,2000
2000,10,SYSTEM,ALL,56925.3213,2001
2000,11,SYSTEM,ALL,37498.8232,2001
2000,12,SYSTEM,ALL,29326.947200000002,2001
2001,1,SYSTEM,ALL,36534.2843,2001
2001,2,SYSTEM,ALL,27777.1216,2001
2001,3,SYSTEM,ALL,77555.2437,2001
2001,4,SYSTEM,ALL,137180.611,2001
2001,5,SYSTEM,ALL,276894.047,2001
2001,6,SYSTEM,ALL,133560.947,2001
2001,7,SYSTEM,ALL,65353.8837,2001
2001,8,SYSTEM,ALL,40916.859,2001
2001,9,SYSTEM,ALL,23817.793700000002,2001
2001,10,SYSTEM,ALL,60631.2543,2002
2001,11,SYSTEM,ALL,154394.494,2002
2001,12,SYSTEM,ALL,88490.813,2002
2002,1,SYSTEM,ALL,160194.971,2002
2002,2,SYSTEM,ALL,79802.355,2002
2002,3,SYSTEM,ALL,91429.612,2002
2002,4,SYSTEM,ALL,238674.081,2002
2002,5,SYSTEM,ALL,353000.923,2002
2002,6,SYSTEM,ALL,447544.946,2002
2002,7,SYSTEM,ALL,167218.809,2002
2002,8,SYSTEM,ALL,55717.3957,2002
2002,9,SYSTEM,ALL,36944.5679,2002
2002,10,SYSTEM,ALL,22052.8022,2003
2002,11,SYSTEM,ALL,42878.769,2003
2002,12,SYSTEM,ALL,46462.2314,2003
2003,1,SYSTEM,ALL,169650.652,2003
2003,2,SYSTEM,ALL,119110.83500000002,2003
2003,3,SYSTEM,ALL,178002.62,2003
2003,4,SYSTEM,ALL,173465.299,2003
2003,5,SYSTEM,ALL,261953.79499999998,2003
2003,6,SYSTEM,ALL,222873.19,2003
2003,7,SYSTEM,ALL,86104.1194,2003
2003,8,SYSTEM,ALL,41608.2783,2003
2003,9,SYSTEM,ALL,35049.527,2003
2003,10,SYSTEM,ALL,102469.2084,2004
2003,11,SYSTEM,ALL,150373.585,2004
2003,12,SYSTEM,ALL,75939.765,2004
2004,1,SYSTEM,ALL,77838.845,2004
2004,2,SYSTEM,ALL,64091.1205,2004
2004,3,SYSTEM,ALL,138504.533,2004
2004,4,SYSTEM,ALL,231269.75400000002,2004
2004,5,SYSTEM,ALL,277798.381,2004
2004,6,SYSTEM,ALL,183225.12,2004
2004,7,SYSTEM,ALL,75569.1495,2004
2004,8,SYSTEM,ALL,71508.9632,2004
2004,9,SYSTEM,ALL,82914.276,2004
2004,10,SYSTEM,ALL,68968.19499999999,2005
2004,11,SYSTEM,ALL,117588.774,2005
2004,12,SYSTEM,ALL,154441.133,2005
2005,1,SYSTEM,ALL,206403.14599999998,2005
2005,2,SYSTEM,ALL,69251.494,2005
2005,3,SYSTEM,ALL,75779.0104,2005
2005,4,SYSTEM,ALL,144269.653,2005
2005,5,SYSTEM,ALL,163468.19700000001,2005
2005,6,SYSTEM,ALL,75594.2087,2005
2005,7,SYSTEM,ALL,53503.655,2005
2005,8,SYSTEM,ALL,36786.6755,2005
2005,9,SYSTEM,ALL,28731.1443,2005
2005,10,SYSTEM,ALL,51781.85969999999,2006
2005,11,SYSTEM,ALL,78380.22399999999,2006
2005,12,SYSTEM,ALL,102210.51000000001,2006
2006,1,SYSTEM,ALL,163268.018,2006
2006,2,SYSTEM,ALL,72556.3005,2006
2006,3,SYSTEM,ALL,56233.595,2006
2006,4,SYSTEM,ALL,178949.598,2006
2006,5,SYSTEM,ALL,436536.11199999996,2006
2006,6,SYSTEM,ALL,341036.54,2006
2006,7,SYSTEM,ALL,103174.8085,2006
2006,8,SYSTEM,ALL,40951.8362,2006
2006,9,SYSTEM,ALL,29662.610399999998,2006
2006,10,SYSTEM,ALL,25008.672899999998,2007
